shear_rate,J_pred_10,J_pred_180,J_pred_300,yield,phi_w_10,phi_w_180,phi_w_300
20000.0,20.41137352498953,19.22344234126363,19.223538767543737,0.9727762236434903,0.14159251430598735,0.4766027868329452,0.1877934760123321
21000.0,21.32936357179275,20.381695651078783,20.381822332216657,0.9631091868234537,0.15254717405944765,0.48721122780841875,0.18989757310221025
22000.0,22.185120778880936,21.273976608553685,21.274166509574137,0.9554165401998048,0.1629085741432333,0.48316181544301684,0.18909778799485652
23000.0,22.982259279358697,21.970108768232855,21.97003345143834,0.9548370619628176,0.17259364092477605,0.46999697731976176,0.18646994393695263
24000.0,23.917731759739475,23.288899696177076,23.289020481664988,0.8962912406311847,0.18588412626243625,0.48699856866758484,0.18985539753233224
25000.0,23.925113192405632,23.92507859028368,25.977654742912556,0.9263201008477863,0.1788441319139087,0.4719646467880062,0.20599490492397352
26000.0,24.543486763898162,24.5434573975939,26.939084279320987,0.9347752232803129,0.18542070015869552,0.4577637066785952,0.20526563988280627
27000.0,25.354618741791278,25.354645105562675,27.559731406964335,0.9233536817958451,0.19664898053967486,0.4525129147295333,0.20155016050755714
28000.0,25.893788656119444,25.89372235360108,28.679142268730583,0.9337439532304201,0.2019680187337991,0.4376008053240063,0.20239513769273476
29000.0,26.608871556258176,26.608808268325653,29.461460393568917,0.9275540434300409,0.2117049558580102,0.43024111278306865,0.20040062317199323
30000.0,26.85577891371488,26.85578716706954,30.70750749935467,0.9517403140211815,0.2103765440772643,0.4082637045832158,0.20223386784589267
31000.0,27.86318278956792,27.863138658448626,31.098243295809805,0.9266998383019907,0.22787887903759527,0.4117433564457041,0.19739190498650955
32000.0,28.45273763943338,28.45273738086462,31.908056639682005,0.9274794351661755,0.2354162974858394,0.40251550647368883,0.19598111759165654
33000.0,28.760716578810534,28.760712570811926,33.02374931921132,0.9451810770946747,0.2357950896990512,0.38622576595060604,0.19681877850181442
34000.0,28.92053797088884,31.625974195674576,28.920817304337938,0.9239728154445223,0.23253909347079585,0.44317905998261664,0.1646946618258556
35000.0,29.520424501636956,32.291406759067016,29.5205037173935,0.9209830304290633,0.24067327367084565,0.435384911777877,0.16329896270515143
36000.0,32.56789618715608,32.57315641022342,32.56831642952385,,0.32343883407193164,0.4175783848511219,0.175610907080648
37000.0,33.16099976605084,33.16105640450533,33.161060449467485,,0.33366551210712114,0.4092722964473657,0.17386219144551315
38000.0,33.7181256059049,33.71815592466677,33.75495528446069,,0.3429225809075728,0.40079306831801126,0.17222777073189494
39000.0,34.2923443252529,34.29238776632913,34.29238452107944,,0.35308553676187293,0.393316207432945,0.170398255805182
40000.0,34.83472911701142,34.83676338182853,34.835056661613784,,0.36236664686728054,0.3856665801538992,0.1687044682376201
41000.0,35.3668161420734,35.36684980138334,35.366834310551155,,0.3715248851964394,0.3782188862631098,0.16705622854045074
42000.0,35.87886877545985,35.88545194193927,35.87889354634004,,0.3801687587603698,0.371021547113091,0.1654092385692498
43000.0,36.38884132581187,36.38893072313761,36.38908134135477,,0.3889683437646991,0.36398614407536556,0.16384551215993534
44000.0,36.88110257254016,36.87999086512039,36.88008456489086,,0.3973021347110682,0.35715847617473173,0.1622826398360322
45000.0,37.36140868337367,37.36318906538444,37.36163232525623,,0.40537484858160283,0.35061023763397525,0.1607630546823122
46000.0,37.816558632649375,37.83832291847339,37.81661664968121,,0.4126337085708888,0.3443174509946846,0.15921367629917219
47000.0,38.288855315194475,38.293647099389226,38.28923058587962,,0.4207823018709267,0.3380639011073618,0.15781447849955976
48000.0,38.73436254129125,38.744622775842636,38.73440421505685,,0.4280204348286495,0.3321069373461113,0.15637896199385004
49000.0,39.18148252931106,39.181604658329725,39.18159864056037,,0.43550498426369066,0.3262731179049895,0.15502189783131992
50000.0,39.61190053443774,39.611866570655344,39.6120920908376,,0.4424627734147705,0.3206679729581683,0.15366925362706127
51000.0,40.026262280869595,40.036465407141236,40.02644216760666,,0.4489022376184352,0.3152912248963135,0.1523235256654994
52000.0,40.44623041510732,40.44637485872745,40.446664682046226,,0.45573825456584455,0.31000082419745,0.15106092123670556
53000.0,40.85099725970732,40.850981361394794,40.851328796885056,,0.46207405550898056,0.3049223122671634,0.14980363222385595
54000.0,41.2478262685231,41.247679987832846,41.24805316543041,,0.46821158680632713,0.3000074669350059,0.14857686595524092
55000.0,41.63719972827698,41.637158235818475,41.637267226036435,,0.47416430554636696,0.29525537122185286,0.1473803232317803
56000.0,42.01924208275846,42.01933637172041,42.01946833351992,,0.47993069428858937,0.29065540234497295,0.1462139033664377
57000.0,42.39389465620671,42.39464219395836,42.39429573048412,,0.48550150822687127,0.28620383111285763,0.1450748824332116
58000.0,42.76085330990771,42.75633963589814,42.756152898900744,,0.4908567645709693,0.2818153197550002,0.14394534125378988
59000.0,43.12482968080046,43.12490455532483,43.12512112503857,,0.4962018079131046,0.2777153078452487,0.1428828842416467
60000.0,43.480698510542446,43.480648651685875,43.48088227948402,,0.5013023034359372,0.27367146308621704,0.1418262334778461
61000.0,43.83056372956052,43.830587178332706,43.831104272138454,,0.506247515437948,0.2697560007727183,0.14079648378933388
62000.0,44.17476880833233,44.17473301565754,44.1748062202081,,0.511048486677023,0.265961894064673,0.13978961925830416
63000.0,44.505512445288694,44.48575916939964,44.485674352351325,,0.5153447558335194,0.26201578120021596,0.138735721396426
64000.0,44.846703881615795,44.84695189168888,44.847169898090925,,0.5202241671707979,0.25872410892938924,0.13785172389981293
65000.0,45.17206307695462,45.17708891651008,45.17289585148811,,0.5244820940472381,0.2552869151964975,0.13691083522772696
66000.0,45.49044240023366,45.50423222009559,45.49093311997819,,0.5285186336329873,0.25197068230415276,0.13598578498062616
67000.0,45.81671562884153,45.816889035526685,45.817215569844606,,0.5330174793350165,0.24866846221849861,0.135114058446485
68000.0,46.13041400265329,46.13085306360501,46.13059264692607,,0.537031337145772,0.24551582949581202,0.13424306815952486
69000.0,46.440046316789065,46.440066999596795,46.44125344446456,,0.5409498621601583,0.24245367452502867,0.13339646331481317
70000.0,46.69501408082655,46.78785188524634,46.6961614219267,,0.5424181554308038,0.2398253674510522,0.132453868811606
71000.0,47.027922217657306,47.062092402964815,47.02824317132811,,0.547595331894379,0.23672251102323202,0.13171405033421904
72000.0,47.33118637976739,47.29950959971182,47.29984319787442,,0.5514831477180354,0.23346408367179172,0.1308681800935874
73000.0,47.63615475252549,47.63636034388907,47.63617866985811,,0.5555372309341082,0.23107509810192484,0.13018767096396738
74000.0,47.92541022996127,47.925468994873995,47.9260456571455,,0.5589393845763135,0.22842818397215672,0.12943243145152983
75000.0,48.19255627167542,48.142543352075315,48.142979699075234,,0.5613846818431267,0.22537264173151947,0.1285530562797207
76000.0,48.32218058563389,48.32221371898526,48.98905098076238,,0.5574921446761175,0.222180136590858,0.12896366121359581
77000.0,48.76826408230171,48.75889318535359,48.75895724632042,,0.5684555747265807,0.22083633727799604,0.12723628947146076
78000.0,49.04541534904843,49.04842431803797,49.045914637704215,,0.5716033118398055,0.21856545593840127,0.12656752015246292
79000.0,49.31887482950883,49.31924090822341,49.31957268683263,,0.574651760669394,0.21625433598971824,0.12589390334088785
80000.0,49.58762900838756,49.58788993776846,49.588200493885225,,0.5775513026348601,0.21401092295350171,0.12523123110048093
81000.0,49.85293506232279,49.85436459165884,49.85203830151562,,0.5803596132702323,0.21183198359649597,0.12457953559906448
82000.0,50.11156270044618,50.097891217172396,50.09856742254021,,0.582922368825741,0.209589936973384,0.12391594985238542
83000.0,50.37628439522807,50.376295858705554,50.37717358845578,,0.5858423107521562,0.20762936031533563,0.12332832893250807
84000.0,50.62984954374248,50.63745041982347,50.629829704020345,,0.5883018932219336,0.2056340742277769,0.12271237695758958
85000.0,50.87708911010569,50.90012835219743,50.87789866297937,,0.5905282380594569,0.20371280438902617,0.12210606396433965
86000.0,51.139336959948835,51.139373251472826,51.13975964118467,,0.5935304622812346,0.20172457025868426,0.12153987945247713
87000.0,51.38851388019555,51.388562039617874,51.38880829482828,,0.5959775417731636,0.1998543614477649,0.12096809677907153
88000.0,51.5890746359839,51.691222110642556,51.59020034213677,,0.5961862923642764,0.19832589092935438,0.12033452406005384
89000.0,51.87909012656237,51.87930664260256,51.880338915204376,,0.6006902764631693,0.19624953213727475,0.11986019139955607
